config,dataset,model,gamma,seed,epoch,task_acc,concept_acc,urr_task,urr_nontask,leak_acc_task,leak_acc_nontask,ece,brier,map_concepts,auc_tti,nauc_tti,auc_tti_random,nauc_tti_random,interv_error_0,interv_error_full
cub12-mcbm-01,cub12,MCBM (medium g),0.1,43,250,77.13151536071798,96.61027526855469,-0.7732415984409551,0.0,-0.24660848654233491,0.0,0.10759343206882477,0.3405047059059143,0.943855435649554,86.04590956161546,0.009435047750546547,86.04590956161546,0.009435047750546547,22.868484639282016,11.54642733862616
cub12-mcbm-01,cub12,MCBM (medium g),0.1,44,250,76.33759061097687,94.72118377685547,-0.3087331228852244,0.0,-0.2192225372582151,0.0,0.10942255705595016,0.3535723090171814,0.9241982632062652,86.09193418478884,0.007579680128868939,86.09193418478884,0.007579680128868939,23.662409389023125,14.566793234380398
cub12-mcbm-03,cub12,MCBM (high g),0.3,42,250,76.14773904038661,96.62821960449219,-0.34707912545033565,0.0,-0.29898359225346494,0.0,0.1034795343875885,0.3560968339443207,0.9365360305664387,83.92877689563916,0.008054309055344612,83.92877689563916,0.008054309055344612,23.85226095961339,14.187090093199856
cub12-mcbm-03,cub12,MCBM (high g),0.3,43,250,74.95685191577493,96.4710693359375,-0.7977419860550203,0.0,-0.27979910373687744,0.0,0.10740714520215988,0.36175259947776794,0.9396242250998815,84.63928201587849,0.011103440340582213,84.63928201587849,0.011103440340582213,25.043148084225066,11.719019675526411
cub12-mcbm-03,cub12,MCBM (high g),0.3,44,250,74.38729720400414,94.67697143554688,-0.4088109957061618,0.0,-0.25919132065354733,0.0,0.11002197861671448,0.37358716130256653,0.9213400134986097,85.10671959498332,0.00920492463467955,85.10671959498332,0.00920492463467955,25.612702795995858,14.566793234380398
cub12-shcbm,cub12,SCBM,,42,250,73.33448394891266,96.59515380859375,0.11376818561781418,0.0,-0.024694296029897835,0.0,0.07547704875469208,0.3801525831222534,0.951006662338338,81.73541594753193,0.010858934529973538,81.73541594753193,0.010858934529973538,26.665516051087337,13.634794615119091
cub12-shcbm,cub12,SCBM,,43,250,71.47048671039006,96.46989440917969,-0.23534751260713202,0.0,-0.007966504647181584,0.0,0.08090493828058243,0.40042465925216675,0.9520561655362447,82.61707513519733,0.01477102749971234,82.61707513519733,0.01477102749971234,28.529513289609937,10.80428028995513
cub12-shcbm,cub12,SCBM,,44,250,71.48774594408009,96.34574127197266,0.14266246601123625,0.0,-0.009992143564056932,0.0,0.07915720343589783,0.40191492438316345,0.9496515013954856,80.68979403981129,0.012858129099068,80.68979403981129,0.012858129099068,28.51225405591991,13.082499137038312
cub12-vanilla,cub12,Vanilla,,42,250,75.45736969278563,,-0.043904340162580574,0.0,-0.17896533012390137,0.0,0.1544305682182312,0.38853055238723755,,,,,,,
cub12-vanilla,cub12,Vanilla,,43,250,75.23299965481533,,-0.6028281611379505,0.0,-0.25623349043039173,0.0,0.15983200073242188,0.3986850678920746,,,,,,,
cub12-vanilla,cub12,Vanilla,,44,250,75.81981360027615,,-0.013724582664839327,0.0,-0.12626512008800841,0.0,0.15140454471111298,0.38551345467567444,,,,,,,
mpi3d-arhcbm,mpi3d,ARCBM,,42,50,23.75925925925926,99.99933624267578,28.832002072922958,10.737001986539262,15.590278431773186,4.9259258434176445,0.006636532489210367,0.8196516633033752,0.999904100384031,23.757109788359795,-1.6534391534455446e-06,23.757109788359795,-1.6534391534455446e-06,76.24074074074073,76.24305555555556
