config,dataset,model,seed,cka,disentanglement,ois,nis
cifar10-shcbm,cifar10,SCBM,43,0.310672402381897,0.2686670902047309,14.942440314249033,2.8110765934747493
cifar10-shcbm,cifar10,SCBM,44,0.2500348687171936,0.27081791807418776,16.275053748592182,4.0385829913197195
cifar10-vanilla,cifar10,Vanilla,42,0.2601025104522705,0.18633172913139218,nan,nan
cifar10-vanilla,cifar10,Vanilla,43,0.25790780782699585,0.19284382990455845,nan,nan
cifar10-vanilla,cifar10,Vanilla,44,0.1933269202709198,0.19697473533650442,nan,nan
cub12-arhcbm,cub12,ARCBM,42,0.6126007437705994,0.3135866820291604,11.864593185561452,0.006867240244555454
cub12-cbm,cub12,CBM,42,0.6130277514457703,0.33532318240977543,11.430659621090037,0.0
cub12-cbm,cub12,CBM,43,0.6251087784767151,0.3556986788632726,11.68339243708279,0.013173029845299963
cub12-cbm,cub12,CBM,44,0.6580632328987122,0.3382694510927081,11.645935417960573,0.023448790533178568
cub12-cem,cub12,CEM,42,0.5917496085166931,0.4502243225224938,12.265705241942495,6.501696081824933e-05
cub12-cem,cub12,CEM,44,0.6162989139556885,0.4356229531925565,12.98767745736686,0.0066064639474763065
cub12-mcbm-01,cub12,MCBM (medium g),43,0.8661682605743408,0.9504748563546225,5.791748357254059,0.5259444106857467
cub12-shcbm,cub12,SCBM,44,0.6982517838478088,0.33992732008854876,14.436801470131552,0.0008242905743967426
cub12-vanilla,cub12,Vanilla,42,0.2871481478214264,0.30705449175025123,nan,nan
cub12-vanilla,cub12,Vanilla,43,0.30871254205703735,0.30008723393459497,nan,nan
cub12-vanilla,cub12,Vanilla,44,0.33238422870635986,0.31303695180111696,nan,nan
mpi3d-arhcbm,mpi3d,ARCBM,42,0.8325492143630981,0.5317884859549168,16.318570477585105,0.0
mpi3d-arhcbm,mpi3d,ARCBM,43,0.8412625193595886,0.5135197978630939,15.723525386642171,0.0
mpi3d-arhcbm,mpi3d,ARCBM,44,0.8317942023277283,0.49804618267406175,16.585430233486864,7.93016446160826e-16
